"Binomial.1.2","Order.1.2","Family.1.2","Genus.1.2","Species.1.2","Terrestrial","Marine","Freshwater","Aerial","Life.Habit.Method","Life.Habit.Source","Mass.g","Mass.Method","Mass.Source","Mass.Comparison","Mass.Comparison.Source","Island.Endemicity","IUCN.Status.1.2","Added.IUCN.Status.1.2","Diet.Plant","Diet.Vertebrate","Diet.Invertebrate","Diet.Method","Diet.Source","scientificName"
"Vampyrodes_major","Chiroptera","Phyllostomidae","Vampyrodes","major",0,0,0,1,"Taxonomic","PHYLACINE 1.2",33.2,"Imputed","PHYLACINE 1.2.1",NA,NA,"Occurs on mainland","LC","No",97,0,3,"Imputed 000 Species","PHYLACINE 1.2.1","Vampyrodes major"
"Vampyrum_spectrum","Chiroptera","Phyllostomidae","Vampyrum","spectrum",0,0,0,1,"Taxonomic","PHYLACINE 1.2",167.7,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","NT","No",10,80,10,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.","Vampyrum spectrum"
"Vandeleuria_nilagirica","Rodentia","Muridae","Vandeleuria","nilagirica",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",19.9,"Imputed","PHYLACINE 1.2.1",NA,NA,"Occurs on mainland","EN","No",100,0,0,"Transformed 000 Genus","Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.","Vandeleuria nilagirica"
"Vandeleuria_nolthenii","Rodentia","Muridae","Vandeleuria","nolthenii",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",56.6,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on large land bridge islands","EN","No",100,0,0,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.","Vandeleuria nolthenii"
"Vandeleuria_oleracea","Rodentia","Muridae","Vandeleuria","oleracea",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",10,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","LC","No",100,0,0,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.","Vandeleuria oleracea"
"Varecia_rubra","Primates","Lemuridae","Varecia","rubra",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",3450,"Reported","Garbutt N. Mammals of Madagascar a Complete Guide (2007)",NA,NA,"Occurs only on isolated islands","CR","No",100,0,0,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.","Varecia rubra"
"Varecia_variegata","Primates","Lemuridae","Varecia","variegata",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",3350,"Reported","Garbutt N. Mammals of Madagascar a Complete Guide (2007)",NA,NA,"Occurs only on isolated islands","CR","No",100,0,0,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.","Varecia variegata"
"Vernaya_fulva","Rodentia","Muridae","Vernaya","fulva",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",24.9,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","LC","No",80,1,19,"Imputed 000 Species","PHYLACINE 1.2.1","Vernaya fulva"
"Vespadelus_baverstocki","Chiroptera","Vespertilionidae","Vespadelus","baverstocki",0,0,0,1,"Taxonomic","PHYLACINE 1.2",5,"Reported","Van Dyck S, Straham R. The Mammals of Australia Third edition (2008)",NA,NA,"Occurs on mainland","LC","No",0,0,100,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.","Vespadelus baverstocki"
"Vespadelus_caurinus","Chiroptera","Vespertilionidae","Vespadelus","caurinus",0,0,0,1,"Taxonomic","PHYLACINE 1.2",4,"Reported","Van Dyck S, Straham R. The Mammals of Australia Third edition (2008)",NA,NA,"Occurs on mainland","LC","No",0,0,100,"Transformed 000 Species","Gainsbury, A. M., et al. 2018. An updated global data set for diet preferences in terrestrial mammals: testing the validity of extrapolation. Mammal Review, 1-8.","Vespadelus caurinus"
"Vespadelus_darlingtoni","Chiroptera","Vespertilionidae","Vespadelus","darlingtoni",0,0,0,1,"Taxonomic","PHYLACINE 1.2",6,"Reported","Van Dyck S, Straham R. The Mammals of Australia Third edition (2008)",NA,NA,"Occurs on mainland","LC","No",0,0,100,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.","Vespadelus darlingtoni"
