"year","ghf","analysis_unit","file_name"
2010,94.3919351397482,"file_150_unit_3_1_28day","processed_PublicData_Team_Africa_noMadagascarRepublic of Congo.csv"
2010,94.3919351397482,"file_150_unit_3_1_56day","processed_PublicData_Team_Africa_noMadagascarRepublic of Congo.csv"
2010,94.3919351397482,"file_150_unit_3_2_28day","processed_PublicData_Team_Africa_noMadagascarRepublic of Congo.csv"
2011,95.6165279852073,"file_150_unit_4_1_28day","processed_PublicData_Team_Africa_noMadagascarRepublic of Congo.csv"
2011,95.6165279852073,"file_150_unit_4_1_56day","processed_PublicData_Team_Africa_noMadagascarRepublic of Congo.csv"
2011,95.6165279852073,"file_150_unit_5_1_28day","processed_PublicData_Team_Africa_noMadagascarRepublic of Congo.csv"
2012,102.025247137472,"file_150_unit_6_1_28day","processed_PublicData_Team_Africa_noMadagascarRepublic of Congo.csv"
2012,102.025247137472,"file_150_unit_7_1_28day","processed_PublicData_Team_Africa_noMadagascarRepublic of Congo.csv"
2013,103.658914728682,"file_150_unit_8_1_28day","processed_PublicData_Team_Africa_noMadagascarRepublic of Congo.csv"
2013,103.658914728682,"file_150_unit_8_1_56day","processed_PublicData_Team_Africa_noMadagascarRepublic of Congo.csv"
2013,103.658914728682,"file_150_unit_8_2_28day","processed_PublicData_Team_Africa_noMadagascarRepublic of Congo.csv"
2013,103.658914728682,"file_150_unit_9_1_28day","processed_PublicData_Team_Africa_noMadagascarRepublic of Congo.csv"
2013,103.658914728682,"file_150_unit_9_2_28day","processed_PublicData_Team_Africa_noMadagascarRepublic of Congo.csv"
2014,1318.81159110351,"file_151_unit_1_1_28day","processed_PublicData_Team_Africa_noMadagascarRwanda.csv"
2014,1318.81159110351,"file_151_unit_1_1_allday","processed_PublicData_Team_Africa_noMadagascarRwanda.csv"
2014,1318.81159110351,"file_151_unit_1_2_28day","processed_PublicData_Team_Africa_noMadagascarRwanda.csv"
2014,1318.81159110351,"file_151_unit_1_3_28day","processed_PublicData_Team_Africa_noMadagascarRwanda.csv"
2014,1318.81159110351,"file_151_unit_2_1_28day","processed_PublicData_Team_Africa_noMadagascarRwanda.csv"
2015,1567.23246364414,"file_151_unit_3_1_28day","processed_PublicData_Team_Africa_noMadagascarRwanda.csv"
2015,1567.23246364414,"file_151_unit_3_2_28day","processed_PublicData_Team_Africa_noMadagascarRwanda.csv"
2015,1567.23246364414,"file_151_unit_4_1_28day","processed_PublicData_Team_Africa_noMadagascarRwanda.csv"
2015,1567.23246364414,"file_151_unit_4_2_28day","processed_PublicData_Team_Africa_noMadagascarRwanda.csv"
2016,1569.32435129741,"file_151_unit_5_1_28day","processed_PublicData_Team_Africa_noMadagascarRwanda.csv"
