"scientificName","EOO"
"Macaca mulatta",7513320.81572224
"Prionodon pardicolor",2342407.9517011
"Axis axis",2361371.07793676
"Manis crassicaudata",2908388.90765038
"Cuniculus taczanowskii",406861.255628035
"Dasyprocta variegata",421627.297430564
"Didelphis pernigra",1033727.88628537
"Dinomys branickii",1390156.69988817
"Mazama chunyi",153629.413308804
"Sciurus ignitus",2083951.60936541
"Tremarctos ornatus",218254.951885938
"Canis rufus",917.214104754608
"Cervus elaphus",4274919.30753471
"Glaucomys volans",3848743.42759102
"Lontra canadensis",19086449.7639772
"Marmota monax",7611091.82864223
"Neotoma floridana",1871086.89751854
"Ondatra zibethicus",35093842.1414087
"Peromyscus leucopus",5831351.7659537
"Sciurus niger",4360630.24126295
"Sylvilagus aquaticus",909647.524608505
"Sylvilagus obscurus",94346.0122190164
"Sylvilagus palustris",361966.321943813
"Diceros bicornis",7201058.37663747
"Eudorcas thomsonii",157281.782270286
"Nanger granti",785168.608970075
"Capreolus capreolus",6440221.48424854
"Cervus nippon",350261.322406569
"Erinaceus amurensis",4254779.3089984
"Lepus mandshuricus",1091802.072182
"Meles leucurus",15959053.3798554
"Moschus moschiferus",7225246.06422259
"Mustela sibirica",13304653.9343665
"Nyctereutes procyonoides",11549507.0565704
"Sciurus vulgaris",19900037.2477492
"Eutamias sibiricus",14524045.1283933
"Ursus arctos",24942468.8476441
"Chlorocebus aethiops",1146189.84662902
"Erythrocebus patas",7129627.998234
"Kobus kob",2987044.82439538
"Lepus saxatilis",193852.402192434
"Papio papio",442077.493327237
"Tragelaphus derbianus",392963.395291436
"Ceratotherium simum",5390275.26858771
"Equus quagga",2314209.97662882
"Giraffa camelopardalis",1794018.08217485
"Lepus capensis",11230966.3419995
"Papio ursinus",3348995.37614381
"Parahyaena brunnea",2290722.98490681
"Redunca fulvorufula",1044828.84635018
"Antidorcas marsupialis",1950012.85476958
"Equus zebra",321622.169678835
"Pedetes capensis",3817904.33986711
"Suricata suricatta",1758699.39884665
"Allochrocebus lhoesti",216021.539110813
"Caracal aurata",4042047.67645558
"Cephalophus weynsi",1484366.44973528
"Cercopithecus ascanius",2619625.40736373
"Cricetomys emini",3732493.14491274
"Genetta maculata",12856912.4817791
"Genetta servalina",3171148.45810962
"Lophocebus albigena",1508231.45341299
"Phataginus tricuspis",5954123.19623873
"Nandinia binotata",6021747.81737527
"Pan troglodytes",2314271.99915341
"Philantomba monticola",6383795.31173302
"Protoxerus stangeri",3388918.94867489
"Thryonomys swinderianus",7541449.62920575
"Dama dama",4018821.40233075
"Meles meles",9801554.24080301
